area_name,year,analysis
Bhundiya  ,2025,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2028,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2029,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2030,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2031,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2032,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2033,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2034,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2035,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2036,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2037,Predicted growth class: low | Model confidence: 99.8% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2038,Predicted growth class: low | Model confidence: 99.8% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2039,Predicted growth class: low | Model confidence: 99.8% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Bhundiya Fringe,2040,Predicted growth class: low | Model confidence: 99.8% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Borij,2025,Predicted growth class: high | Model confidence: 91.1% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Borij,2026,Predicted growth class: high | Model confidence: 94.3% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Borij,2027,Predicted growth class: high | Model confidence: 95.1% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Borij,2028,Predicted growth class: high | Model confidence: 95.3% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Borij,2029,Predicted growth class: high | Model confidence: 95.4% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Borij,2030,Predicted growth class: high | Model confidence: 95.4% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Borij,2031,Predicted growth class: high | Model confidence: 95.4% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Borij,2032,Predicted growth class: high | Model confidence: 95.5% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Borij,2033,Predicted growth class: high | Model confidence: 95.5% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Borij,2034,Predicted growth class: high | Model confidence: 95.5% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Borij,2035,Predicted growth class: high | Model confidence: 95.5% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Borij,2036,Predicted growth class: high | Model confidence: 95.5% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Borij,2037,Predicted growth class: high | Model confidence: 95.5% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Borij,2038,Predicted growth class: high | Model confidence: 95.5% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Borij,2039,Predicted growth class: high | Model confidence: 95.5% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Borij,2040,Predicted growth class: high | Model confidence: 96.6% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Chiloda,2025,Predicted growth class: high | Model confidence: 77.3% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Chiloda,2026,Predicted growth class: high | Model confidence: 78.7% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Chiloda,2027,Predicted growth class: high | Model confidence: 82.0% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Chiloda,2028,Predicted growth class: high | Model confidence: 76.7% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Chiloda,2029,Predicted growth class: high | Model confidence: 72.4% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Chiloda,2030,Predicted growth class: high | Model confidence: 65.8% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Chiloda,2031,Predicted growth class: medium | Model confidence: 68.8% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Chiloda,2032,Predicted growth class: medium | Model confidence: 74.1% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Chiloda,2033,Predicted growth class: medium | Model confidence: 76.6% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Chiloda,2034,Predicted growth class: medium | Model confidence: 81.1% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Chiloda,2035,Predicted growth class: medium | Model confidence: 83.7% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Chiloda,2036,Predicted growth class: medium | Model confidence: 85.8% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Chiloda,2037,Predicted growth class: medium | Model confidence: 86.2% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Chiloda,2038,Predicted growth class: medium | Model confidence: 86.5% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Chiloda,2039,Predicted growth class: medium | Model confidence: 86.9% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Chiloda,2040,Predicted growth class: medium | Model confidence: 86.9% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Chiloda ,2025,Predicted growth class: low | Model confidence: 99.9% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Chiloda ,2026,Predicted growth class: low | Model confidence: 99.8% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Chiloda ,2027,Predicted growth class: low | Model confidence: 99.8% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Chiloda ,2028,Predicted growth class: low | Model confidence: 99.7% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Chiloda ,2029,Predicted growth class: low | Model confidence: 99.7% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Chiloda ,2030,Predicted growth class: low | Model confidence: 99.7% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Chiloda ,2031,Predicted growth class: low | Model confidence: 99.7% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Chiloda ,2032,Predicted growth class: low | Model confidence: 99.6% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Chiloda ,2033,Predicted growth class: low | Model confidence: 99.6% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Chiloda ,2034,Predicted growth class: low | Model confidence: 99.6% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Chiloda ,2035,Predicted growth class: low | Model confidence: 99.6% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Chiloda ,2036,Predicted growth class: low | Model confidence: 99.4% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Chiloda ,2037,Predicted growth class: low | Model confidence: 99.4% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Chiloda ,2038,Predicted growth class: low | Model confidence: 98.5% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Chiloda ,2039,Predicted growth class: low | Model confidence: 98.6% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Chiloda ,2040,Predicted growth class: low | Model confidence: 97.8% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Dashela,2025,Predicted growth class: medium | Model confidence: 73.2% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Dashela,2026,Predicted growth class: medium | Model confidence: 74.5% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Dashela,2027,Predicted growth class: medium | Model confidence: 78.8% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Dashela,2028,Predicted growth class: medium | Model confidence: 82.4% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Dashela,2029,Predicted growth class: medium | Model confidence: 79.9% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Dashela,2030,Predicted growth class: high | Model confidence: 77.3% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Dashela,2031,Predicted growth class: high | Model confidence: 78.9% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Dashela,2032,Predicted growth class: high | Model confidence: 74.9% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Dashela,2033,Predicted growth class: high | Model confidence: 74.9% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Dashela,2034,Predicted growth class: high | Model confidence: 77.8% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Dashela,2035,Predicted growth class: high | Model confidence: 75.1% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Dashela,2036,Predicted growth class: high | Model confidence: 74.9% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Dashela,2037,Predicted growth class: high | Model confidence: 76.6% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Dashela,2038,Predicted growth class: high | Model confidence: 76.4% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Dashela,2039,Predicted growth class: high | Model confidence: 68.8% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Dashela,2040,Predicted growth class: high | Model confidence: 68.8% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Dholakuva,2025,Predicted growth class: medium | Model confidence: 75.9% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Dholakuva,2026,Predicted growth class: medium | Model confidence: 71.4% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Dholakuva,2027,Predicted growth class: medium | Model confidence: 78.3% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Dholakuva,2028,Predicted growth class: medium | Model confidence: 73.0% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Dholakuva,2029,Predicted growth class: medium | Model confidence: 72.2% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Dholakuva,2030,Predicted growth class: medium | Model confidence: 73.0% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Dholakuva,2031,Predicted growth class: medium | Model confidence: 73.0% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Dholakuva,2032,Predicted growth class: medium | Model confidence: 72.3% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Dholakuva,2033,Predicted growth class: medium | Model confidence: 72.3% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Dholakuva,2034,Predicted growth class: medium | Model confidence: 72.3% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Dholakuva,2035,Predicted growth class: medium | Model confidence: 72.3% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Dholakuva,2036,Predicted growth class: medium | Model confidence: 72.3% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Dholakuva,2037,Predicted growth class: medium | Model confidence: 72.3% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Dholakuva,2038,Predicted growth class: medium | Model confidence: 72.1% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Dholakuva,2039,Predicted growth class: medium | Model confidence: 72.1% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Dholakuva,2040,Predicted growth class: medium | Model confidence: 71.9% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2025,Predicted growth class: high | Model confidence: 93.5% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2026,Predicted growth class: high | Model confidence: 93.6% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2027,Predicted growth class: high | Model confidence: 96.2% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2028,Predicted growth class: high | Model confidence: 92.0% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2029,Predicted growth class: high | Model confidence: 92.0% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2030,Predicted growth class: high | Model confidence: 92.0% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2031,Predicted growth class: high | Model confidence: 92.4% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2032,Predicted growth class: high | Model confidence: 92.6% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2033,Predicted growth class: high | Model confidence: 92.6% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2034,Predicted growth class: high | Model confidence: 92.6% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2035,Predicted growth class: high | Model confidence: 93.2% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2036,Predicted growth class: high | Model confidence: 93.2% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2037,Predicted growth class: high | Model confidence: 93.2% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2038,Predicted growth class: high | Model confidence: 93.2% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2039,Predicted growth class: high | Model confidence: 93.0% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
GIDC Electronic Estate,2040,Predicted growth class: high | Model confidence: 93.4% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Green City,2025,Predicted growth class: high | Model confidence: 97.5% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Green City,2026,Predicted growth class: high | Model confidence: 98.0% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Green City,2027,Predicted growth class: high | Model confidence: 98.5% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Green City,2028,Predicted growth class: high | Model confidence: 97.3% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Green City,2029,Predicted growth class: high | Model confidence: 97.2% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Green City,2030,Predicted growth class: high | Model confidence: 97.3% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Green City,2031,Predicted growth class: high | Model confidence: 97.3% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Green City,2032,Predicted growth class: high | Model confidence: 97.3% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Green City,2033,Predicted growth class: high | Model confidence: 97.3% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Green City,2034,Predicted growth class: high | Model confidence: 97.3% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Green City,2035,Predicted growth class: high | Model confidence: 97.2% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Green City,2036,Predicted growth class: high | Model confidence: 96.9% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Green City,2037,Predicted growth class: high | Model confidence: 96.9% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Green City,2038,Predicted growth class: high | Model confidence: 96.9% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Green City,2039,Predicted growth class: high | Model confidence: 97.1% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Green City,2040,Predicted growth class: high | Model confidence: 97.1% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2025,Predicted growth class: medium | Model confidence: 99.6% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2026,Predicted growth class: medium | Model confidence: 99.6% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2027,Predicted growth class: medium | Model confidence: 98.7% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2028,Predicted growth class: medium | Model confidence: 98.3% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2029,Predicted growth class: medium | Model confidence: 91.8% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2030,Predicted growth class: medium | Model confidence: 91.5% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2031,Predicted growth class: medium | Model confidence: 89.2% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2032,Predicted growth class: medium | Model confidence: 88.6% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2033,Predicted growth class: medium | Model confidence: 89.1% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2034,Predicted growth class: medium | Model confidence: 89.4% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2035,Predicted growth class: medium | Model confidence: 89.5% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2036,Predicted growth class: medium | Model confidence: 91.7% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2037,Predicted growth class: medium | Model confidence: 92.1% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2038,Predicted growth class: medium | Model confidence: 89.9% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2039,Predicted growth class: medium | Model confidence: 89.4% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Gujarat International Finance Tec-City,2040,Predicted growth class: medium | Model confidence: 89.4% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Indroda,2025,Predicted growth class: medium | Model confidence: 97.2% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Indroda,2026,Predicted growth class: medium | Model confidence: 97.2% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Indroda,2027,Predicted growth class: medium | Model confidence: 97.4% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Indroda,2028,Predicted growth class: medium | Model confidence: 97.3% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Indroda,2029,Predicted growth class: medium | Model confidence: 97.2% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Indroda,2030,Predicted growth class: medium | Model confidence: 97.1% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Indroda,2031,Predicted growth class: medium | Model confidence: 97.1% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Indroda,2032,Predicted growth class: medium | Model confidence: 97.0% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Indroda,2033,Predicted growth class: medium | Model confidence: 97.0% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Indroda,2034,Predicted growth class: medium | Model confidence: 97.0% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Indroda,2035,Predicted growth class: medium | Model confidence: 97.0% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Indroda,2036,Predicted growth class: medium | Model confidence: 97.0% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Indroda,2037,Predicted growth class: medium | Model confidence: 97.0% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Indroda,2038,Predicted growth class: medium | Model confidence: 97.0% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Indroda,2039,Predicted growth class: medium | Model confidence: 97.0% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Indroda,2040,Predicted growth class: medium | Model confidence: 97.0% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Infocity,2025,Predicted growth class: high | Model confidence: 98.6% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Infocity,2026,Predicted growth class: high | Model confidence: 99.0% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Infocity,2027,Predicted growth class: high | Model confidence: 99.2% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Infocity,2028,Predicted growth class: high | Model confidence: 97.2% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Infocity,2029,Predicted growth class: high | Model confidence: 96.7% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Infocity,2030,Predicted growth class: high | Model confidence: 83.7% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Infocity,2031,Predicted growth class: high | Model confidence: 82.8% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Infocity,2032,Predicted growth class: high | Model confidence: 82.8% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Infocity,2033,Predicted growth class: high | Model confidence: 81.0% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Infocity,2034,Predicted growth class: high | Model confidence: 79.3% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Infocity,2035,Predicted growth class: high | Model confidence: 76.2% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Infocity,2036,Predicted growth class: high | Model confidence: 76.2% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Infocity,2037,Predicted growth class: high | Model confidence: 75.9% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Infocity,2038,Predicted growth class: high | Model confidence: 74.4% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Infocity,2039,Predicted growth class: high | Model confidence: 74.6% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Infocity,2040,Predicted growth class: high | Model confidence: 74.6% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Kolavda ,2025,Predicted growth class: low | Model confidence: 99.8% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Kolavda ,2026,Predicted growth class: low | Model confidence: 99.8% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Kolavda ,2027,Predicted growth class: low | Model confidence: 99.8% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Kolavda ,2028,Predicted growth class: low | Model confidence: 99.6% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Kolavda ,2029,Predicted growth class: low | Model confidence: 99.8% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Kolavda ,2030,Predicted growth class: low | Model confidence: 99.7% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Kolavda ,2031,Predicted growth class: low | Model confidence: 99.6% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Kolavda ,2032,Predicted growth class: low | Model confidence: 99.6% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Kolavda ,2033,Predicted growth class: low | Model confidence: 99.4% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Kolavda ,2034,Predicted growth class: low | Model confidence: 99.2% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Kolavda ,2035,Predicted growth class: low | Model confidence: 99.2% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Kolavda ,2036,Predicted growth class: low | Model confidence: 99.2% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Kolavda ,2037,Predicted growth class: low | Model confidence: 98.6% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Kolavda ,2038,Predicted growth class: low | Model confidence: 98.6% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Kolavda ,2039,Predicted growth class: low | Model confidence: 98.3% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Kolavda ,2040,Predicted growth class: low | Model confidence: 98.3% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Kudasan,2025,Predicted growth class: high | Model confidence: 97.9% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
Kudasan,2026,Predicted growth class: high | Model confidence: 96.1% | Forecast generated for year 2026 | Prediction based on historical urban growth patterns
Kudasan,2027,Predicted growth class: high | Model confidence: 97.9% | Forecast generated for year 2027 | Prediction based on historical urban growth patterns
Kudasan,2028,Predicted growth class: high | Model confidence: 94.9% | Forecast generated for year 2028 | Prediction based on historical urban growth patterns
Kudasan,2029,Predicted growth class: high | Model confidence: 95.1% | Forecast generated for year 2029 | Prediction based on historical urban growth patterns
Kudasan,2030,Predicted growth class: high | Model confidence: 95.2% | Forecast generated for year 2030 | Prediction based on historical urban growth patterns
Kudasan,2031,Predicted growth class: high | Model confidence: 94.1% | Forecast generated for year 2031 | Prediction based on historical urban growth patterns
Kudasan,2032,Predicted growth class: high | Model confidence: 94.1% | Forecast generated for year 2032 | Prediction based on historical urban growth patterns
Kudasan,2033,Predicted growth class: high | Model confidence: 94.1% | Forecast generated for year 2033 | Prediction based on historical urban growth patterns
Kudasan,2034,Predicted growth class: high | Model confidence: 94.0% | Forecast generated for year 2034 | Prediction based on historical urban growth patterns
Kudasan,2035,Predicted growth class: high | Model confidence: 94.1% | Forecast generated for year 2035 | Prediction based on historical urban growth patterns
Kudasan,2036,Predicted growth class: high | Model confidence: 93.6% | Forecast generated for year 2036 | Prediction based on historical urban growth patterns
Kudasan,2037,Predicted growth class: high | Model confidence: 93.9% | Forecast generated for year 2037 | Prediction based on historical urban growth patterns
Kudasan,2038,Predicted growth class: high | Model confidence: 93.8% | Forecast generated for year 2038 | Prediction based on historical urban growth patterns
Kudasan,2039,Predicted growth class: high | Model confidence: 93.8% | Forecast generated for year 2039 | Prediction based on historical urban growth patterns
Kudasan,2040,Predicted growth class: high | Model confidence: 93.8% | Forecast generated for year 2040 | Prediction based on historical urban growth patterns
Lekawada ,2025,Predicted growth class: low | Model confidence: 92.9% | Forecast generated for year 2025 | Prediction based on historical urban growth patterns
