area_name,year,analysis
Dholakuva,2018,"In 2018, around 25% of Dholakuva was covered with buildings and roads — still a lot of open space remaining. | Compared to 2017, construction jumped noticeably — about 3.0% more land got built on. That is a big change for a single year. | Dholakuva still had plenty of trees and green cover in 2018 — a lot of land was natural and untouched. | In 2018, Dholakuva was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dholakuva,2019,"In 2019, around 23% of Dholakuva was covered with buildings and roads — still a lot of open space remaining. | The built-up reading fell by 2.3% from 2018 — likely a satellite data anomaly rather than actual demolition. | There was a decent amount of greenery in Dholakuva in 2019 — still some trees and open patches, not fully built over. | In 2019, Dholakuva was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dholakuva,2020,"In 2020, around 24% of Dholakuva was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2019 and 2020 — roughly 1.0% more land was built on. | Dholakuva still had plenty of trees and green cover in 2020 — a lot of land was natural and untouched. | In 2020, Dholakuva was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Dholakuva,2021,"In 2021, around 24% of Dholakuva was covered with buildings and roads — still a lot of open space remaining. | Barely any change from 2020 to 2021 — the area stayed almost exactly the same. | There was a decent amount of greenery in Dholakuva in 2021 — still some trees and open patches, not fully built over. | Night-time activity in Dholakuva was limited in 2021 — some streets and homes lit up, but it was not a very busy area."
Dholakuva,2022,"In 2022, around 25% of Dholakuva was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2021 and 2022 — roughly 1.1% more land was built on. | There was a decent amount of greenery in Dholakuva in 2022 — still some trees and open patches, not fully built over. | Night-time activity in Dholakuva was limited in 2022 — some streets and homes lit up, but it was not a very busy area."
Dholakuva,2023,"In 2023, around 26% of Dholakuva was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2022 to 2023 — just 0.5% more land got covered. | Dholakuva still had plenty of trees and green cover in 2023 — a lot of land was natural and untouched. | Night-time activity in Dholakuva was limited in 2023 — some streets and homes lit up, but it was not a very busy area."
Dholakuva,2024,"In 2024, around 25% of Dholakuva was covered with buildings and roads — still a lot of open space remaining. | The built-up area slightly shrank compared to 2023 (by about 0.5%) — this is usually a seasonal variation in satellite readings, not actual demolition. | Dholakuva still had plenty of trees and green cover in 2024 — a lot of land was natural and untouched. | Night-time activity in Dholakuva was limited in 2024 — some streets and homes lit up, but it was not a very busy area."
GIDC Electronic Estate,2016,"In 2016, around 40% of GIDC Electronic Estate was covered with buildings and roads — still a lot of open space remaining. | Green cover was getting thin in GIDC Electronic Estate by 2016 — most natural land had been replaced by construction. | In 2016, GIDC Electronic Estate was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
GIDC Electronic Estate,2017,"By 2017, more than half of GIDC Electronic Estate was built up (43%) — it had turned into a fairly developed neighbourhood. | Compared to 2016, construction jumped noticeably — about 3.2% more land got built on. That is a big change for a single year. | There was a decent amount of greenery in GIDC Electronic Estate in 2017 — still some trees and open patches, not fully built over. | Night-time activity in GIDC Electronic Estate was limited in 2017 — some streets and homes lit up, but it was not a very busy area."
GIDC Electronic Estate,2018,"By 2018, more than half of GIDC Electronic Estate was built up (43%) — it had turned into a fairly developed neighbourhood. | Barely any change from 2017 to 2018 — the area stayed almost exactly the same. | There was a decent amount of greenery in GIDC Electronic Estate in 2018 — still some trees and open patches, not fully built over. | Night-time activity in GIDC Electronic Estate was limited in 2018 — some streets and homes lit up, but it was not a very busy area."
GIDC Electronic Estate,2019,"By 2019, more than half of GIDC Electronic Estate was built up (43%) — it had turned into a fairly developed neighbourhood. | The built-up area slightly shrank compared to 2018 (by about 0.3%) — this is usually a seasonal variation in satellite readings, not actual demolition. | There was a decent amount of greenery in GIDC Electronic Estate in 2019 — still some trees and open patches, not fully built over. | Night-time activity in GIDC Electronic Estate was limited in 2019 — some streets and homes lit up, but it was not a very busy area."
GIDC Electronic Estate,2020,"By 2020, more than half of GIDC Electronic Estate was built up (42%) — it had turned into a fairly developed neighbourhood. | The built-up area slightly shrank compared to 2019 (by about 0.5%) — this is usually a seasonal variation in satellite readings, not actual demolition. | There was a decent amount of greenery in GIDC Electronic Estate in 2020 — still some trees and open patches, not fully built over. | Night-time activity in GIDC Electronic Estate was limited in 2020 — some streets and homes lit up, but it was not a very busy area."
GIDC Electronic Estate,2021,"By 2021, more than half of GIDC Electronic Estate was built up (44%) — it had turned into a fairly developed neighbourhood. | A steady amount of new construction happened between 2020 and 2021 — roughly 1.2% more land was built on. | There was a decent amount of greenery in GIDC Electronic Estate in 2021 — still some trees and open patches, not fully built over. | Night-time activity in GIDC Electronic Estate was limited in 2021 — some streets and homes lit up, but it was not a very busy area."
GIDC Electronic Estate,2022,"By 2022, more than half of GIDC Electronic Estate was built up (45%) — it had turned into a fairly developed neighbourhood. | A steady amount of new construction happened between 2021 and 2022 — roughly 1.1% more land was built on. | There was a decent amount of greenery in GIDC Electronic Estate in 2022 — still some trees and open patches, not fully built over. | Night-time activity in GIDC Electronic Estate was limited in 2022 — some streets and homes lit up, but it was not a very busy area."
GIDC Electronic Estate,2023,"By 2023, more than half of GIDC Electronic Estate was built up (46%) — it had turned into a fairly developed neighbourhood. | A steady amount of new construction happened between 2022 and 2023 — roughly 1.5% more land was built on. | There was a decent amount of greenery in GIDC Electronic Estate in 2023 — still some trees and open patches, not fully built over. | Night-time activity in GIDC Electronic Estate was limited in 2023 — some streets and homes lit up, but it was not a very busy area."
GIDC Electronic Estate,2024,"By 2024, more than half of GIDC Electronic Estate was built up (45%) — it had turned into a fairly developed neighbourhood. | The built-up area slightly shrank compared to 2023 (by about 1.0%) — this is usually a seasonal variation in satellite readings, not actual demolition. | There was a decent amount of greenery in GIDC Electronic Estate in 2024 — still some trees and open patches, not fully built over. | Night-time activity in GIDC Electronic Estate was limited in 2024 — some streets and homes lit up, but it was not a very busy area."
Green City,2016,"By 2016, more than half of Green City was built up (57%) — it had turned into a fairly developed neighbourhood. | Almost no greenery left in Green City by 2016 — it was essentially all concrete, roads, and buildings. | Night-time activity in Green City was limited in 2016 — some streets and homes lit up, but it was not a very busy area."
Green City,2017,"By 2017, more than half of Green City was built up (62%) — it had turned into a fairly developed neighbourhood. | Compared to 2016, construction jumped noticeably — about 5.7% more land got built on. That is a big change for a single year. | Green cover was getting thin in Green City by 2017 — most natural land had been replaced by construction. | Night-time activity in Green City was limited in 2017 — some streets and homes lit up, but it was not a very busy area."
Green City,2018,"By 2018, more than half of Green City was built up (63%) — it had turned into a fairly developed neighbourhood. | A small amount of new construction happened from 2017 to 2018 — just 0.7% more land got covered. | Green cover was getting thin in Green City by 2018 — most natural land had been replaced by construction. | Night-time activity in Green City was limited in 2018 — some streets and homes lit up, but it was not a very busy area."
Green City,2019,"By 2019, more than half of Green City was built up (62%) — it had turned into a fairly developed neighbourhood. | The built-up area slightly shrank compared to 2018 (by about 1.3%) — this is usually a seasonal variation in satellite readings, not actual demolition. | Green cover was getting thin in Green City by 2019 — most natural land had been replaced by construction. | Night-time activity in Green City was limited in 2019 — some streets and homes lit up, but it was not a very busy area."
Green City,2020,"By 2020, more than half of Green City was built up (62%) — it had turned into a fairly developed neighbourhood. | Barely any change from 2019 to 2020 — the area stayed almost exactly the same. | Green cover was getting thin in Green City by 2020 — most natural land had been replaced by construction. | Night-time activity in Green City was limited in 2020 — some streets and homes lit up, but it was not a very busy area."
Green City,2021,"By 2021, more than half of Green City was built up (63%) — it had turned into a fairly developed neighbourhood. | A steady amount of new construction happened between 2020 and 2021 — roughly 1.2% more land was built on. | Green cover was getting thin in Green City by 2021 — most natural land had been replaced by construction. | Night-time activity in Green City was limited in 2021 — some streets and homes lit up, but it was not a very busy area."
Green City,2022,"By 2022, more than half of Green City was built up (63%) — it had turned into a fairly developed neighbourhood. | The built-up area slightly shrank compared to 2021 (by about 0.3%) — this is usually a seasonal variation in satellite readings, not actual demolition. | Green cover was getting thin in Green City by 2022 — most natural land had been replaced by construction. | Night-time activity in Green City was limited in 2022 — some streets and homes lit up, but it was not a very busy area."
Green City,2023,"By 2023, more than half of Green City was built up (64%) — it had turned into a fairly developed neighbourhood. | A steady amount of new construction happened between 2022 and 2023 — roughly 1.5% more land was built on. | Green cover was getting thin in Green City by 2023 — most natural land had been replaced by construction. | Night-time activity in Green City was limited in 2023 — some streets and homes lit up, but it was not a very busy area."
Green City,2024,"By 2024, more than half of Green City was built up (63%) — it had turned into a fairly developed neighbourhood. | The built-up area slightly shrank compared to 2023 (by about 0.7%) — this is usually a seasonal variation in satellite readings, not actual demolition. | Green cover was getting thin in Green City by 2024 — most natural land had been replaced by construction. | Night-time activity in Green City was limited in 2024 — some streets and homes lit up, but it was not a very busy area."
Gujarat International Finance Tec-City,2016,"In 2016, around 22% of Gujarat International Finance Tec-City was covered with buildings and roads — still a lot of open space remaining. | Green cover was getting thin in Gujarat International Finance Tec-City by 2016 — most natural land had been replaced by construction. | In 2016, Gujarat International Finance Tec-City was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Gujarat International Finance Tec-City,2017,"In 2017, around 25% of Gujarat International Finance Tec-City was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2016 and 2017 — roughly 2.6% more land was built on. | There was a decent amount of greenery in Gujarat International Finance Tec-City in 2017 — still some trees and open patches, not fully built over. | In 2017, Gujarat International Finance Tec-City was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Gujarat International Finance Tec-City,2018,"In 2018, around 27% of Gujarat International Finance Tec-City was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2017 and 2018 — roughly 1.7% more land was built on. | There was a decent amount of greenery in Gujarat International Finance Tec-City in 2018 — still some trees and open patches, not fully built over. | In 2018, Gujarat International Finance Tec-City was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Gujarat International Finance Tec-City,2019,"In 2019, around 26% of Gujarat International Finance Tec-City was covered with buildings and roads — still a lot of open space remaining. | The built-up area slightly shrank compared to 2018 (by about 0.8%) — this is usually a seasonal variation in satellite readings, not actual demolition. | There was a decent amount of greenery in Gujarat International Finance Tec-City in 2019 — still some trees and open patches, not fully built over. | In 2019, Gujarat International Finance Tec-City was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Gujarat International Finance Tec-City,2020,"In 2020, around 27% of Gujarat International Finance Tec-City was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2019 and 2020 — roughly 1.6% more land was built on. | There was a decent amount of greenery in Gujarat International Finance Tec-City in 2020 — still some trees and open patches, not fully built over. | In 2020, Gujarat International Finance Tec-City was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Gujarat International Finance Tec-City,2021,"In 2021, around 28% of Gujarat International Finance Tec-City was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2020 to 2021 — just 0.9% more land got covered. | There was a decent amount of greenery in Gujarat International Finance Tec-City in 2021 — still some trees and open patches, not fully built over. | In 2021, Gujarat International Finance Tec-City was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Gujarat International Finance Tec-City,2022,"In 2022, around 30% of Gujarat International Finance Tec-City was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2021 and 2022 — roughly 1.8% more land was built on. | There was a decent amount of greenery in Gujarat International Finance Tec-City in 2022 — still some trees and open patches, not fully built over. | In 2022, Gujarat International Finance Tec-City was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
Gujarat International Finance Tec-City,2023,"In 2023, around 31% of Gujarat International Finance Tec-City was covered with buildings and roads — still a lot of open space remaining. | A small amount of new construction happened from 2022 to 2023 — just 0.5% more land got covered. | There was a decent amount of greenery in Gujarat International Finance Tec-City in 2023 — still some trees and open patches, not fully built over. | Night-time activity in Gujarat International Finance Tec-City was limited in 2023 — some streets and homes lit up, but it was not a very busy area."
Gujarat International Finance Tec-City,2024,"In 2024, around 32% of Gujarat International Finance Tec-City was covered with buildings and roads — still a lot of open space remaining. | A steady amount of new construction happened between 2023 and 2024 — roughly 1.0% more land was built on. | There was a decent amount of greenery in Gujarat International Finance Tec-City in 2024 — still some trees and open patches, not fully built over. | Night-time activity in Gujarat International Finance Tec-City was limited in 2024 — some streets and homes lit up, but it was not a very busy area."
Indroda,2016,"In 2016, only about 5% of Indroda had buildings or roads on it — most of the area was still open land. | Almost no greenery left in Indroda by 2016 — it was essentially all concrete, roads, and buildings. | In 2016, Indroda was quite dark at night — very few lights, typical of a quiet village or undeveloped land."
